MK-312BT Mouser BOM Updated 4/18/2026,,,,,,,
Designator,Description,Quantity Per Unit,Supplier Part #,Part #,Sourced?,Mouser URL,Amazon URL
U2,LM324N,1,595-LM324N,LM324N,✓,https://www.mouser.com/c/?q=595-LM324N,https://www.amazon.com/s?k=LM324N
"U10,U4",LM358N,2,512-LM358N,LM358N,✓,https://www.mouser.com/c/?q=512-LM358N,https://www.amazon.com/s?k=LM358N
"LED1,LED2,LED3,LED4",5MM LED,4,606-4304H1,4304H1,X,https://www.mouser.com/c/?q=606-4304H1,https://www.amazon.com/s?k=4304H1
U9,MAX232,1,700-MAX232CPE,MAX232CPE,X,https://www.mouser.com/c/?q=700-MAX232CPE,https://www.amazon.com/s?k=MAX232CPE
"SOCKET FOR U2,U3",DIL 14 IC SOCKET,2,517-4814-3004-CP,4814-3004-CP,X,https://www.mouser.com/c/?q=517-4814-3004-CP,https://www.amazon.com/s?k=4814-3004-CP
SOCKET FOR U9,DIL 16 IC SOCKET,1,517-4816-3004-CP,4816-3004-CP,X,https://www.mouser.com/c/?q=517-4816-3004-CP,https://www.amazon.com/s?k=4816-3004-CP
SOCKET FOR U1,DIL 40 IC SOCKET,1,575-11041640410010,110-41-640-41-001000,X,https://www.mouser.com/c/?q=575-11041640410010,https://www.amazon.com/s?k=110-41-640-41-001000
"SOCKET FOR U10,U4,U8(A/B)",DIL 8 IC SOCKET,4,571-1-2199298-2,1-2199298-2,X,https://www.mouser.com/c/?q=571-1-2199298-2,https://www.amazon.com/s?k=1-2199298-2
"JP6,JP7",2x1 SIP HEADER 0.1,2,571-5-146285-2,5-146285-2,X,https://www.mouser.com/c/?q=571-5-146285-2,https://www.amazon.com/s?k=5-146285-2
"VR1, VR2",ALPS 9mm 10K Pot,2,688-RK09L1140A2U,RK09L1140A2U,X,https://www.mouser.com/c/?q=688-RK09L1140A2U,https://www.amazon.com/s?k=RK09L1140A2U
VR3,ALPS 9mm 10K Dual Gang Pot,1,688-RK09L1240A12,RK09L1240A12,X,https://www.mouser.com/c/?q=688-RK09L1240A12,https://www.amazon.com/s?k=RK09L1240A12
VR4,Bourns 3362P 10K Pot,1,3362P-1-103LF,3362P-1-103LF,X,https://www.mouser.com/c/?q=3362P-1-103LF,https://www.amazon.com/s?k=3362P-1-103LF
"S1,S2,S3,S4",Buttons,4,611-D6C90F2LFS,D6C90 F2 LFS,X,https://www.mouser.com/c/?q=611-D6C90F2LFS,https://www.amazon.com/s?k=D6C90%20F2%20LFS
J8,2.1/5.5mm DC jack,1,490-PJ-002A,PJ-002A,X,https://www.mouser.com/c/?q=490-PJ-002A,https://www.amazon.com/s?k=PJ-002A
S5,Toggle Switch with safety actuator,1,611-7101K2AV2BE,7101K2AV2BE,X,https://www.mouser.com/c/?q=611-7101K2AV2BE,https://www.amazon.com/s?k=7101K2AV2BE
J9,Radio Header,1,538-90147-1206,90147-1206,X,https://www.mouser.com/c/?q=538-90147-1206,https://www.amazon.com/s?k=90147-1206
